Original MSA,Matched MSA,CBSA Code,Confidence,Check
"Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL",45300,100,Y
"Terre Haute, IN","Terre Haute, IN",45460,100,Y
"Texarkana, TX-AR","Texarkana, TX-AR",45500,100,Y
"Toledo, OH","Toledo, OH",45780,100,Y
"Topeka, KS","Topeka, KS",45820,100,Y
"Trenton-Princeton, NJ","Trenton-Princeton, NJ",45940,100,Y
"Tucson, AZ","Tucson, AZ",46060,100,Y
"Tulsa, OK","Tulsa, OK",46140,100,Y
"Tyler, TX","Tyler, TX",46340,100,Y
"Utica-Rome, NY","Utica-Rome, NY",46540,100,Y
"Vallejo, CA","Vallejo, CA",46700,100,Y
"Victoria, TX","Victoria, TX",47020,100,Y
"Waco, TX","Waco, TX",47380,100,Y
"Warner Robins, GA","Warner Robins, GA",47580,100,Y
"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,100,Y
"Waterloo-Cedar Falls, IA","Waterloo-Cedar Falls, IA",47940,100,Y
"Weirton-Steubenville, WV-OH","Weirton-Steubenville, WV-OH",48260,100,Y
"Wichita Falls, TX","Wichita Falls, TX",48660,100,Y
"Wichita, KS","Wichita, KS",48620,100,Y
"Williamsport, PA","Williamsport, PA",48700,100,Y
"Wilmington, NC","Wilmington, NC",48900,100,Y
"Winston-Salem, NC","Winston-Salem, NC",49180,100,Y
"Yakima, WA","Yakima, WA",49420,100,Y
"York-Hanover, PA","York-Hanover, PA",49620,100,Y
"Yuma, AZ","Yuma, AZ",49740,100,Y
